goal,plan,question,answer,prompt
(and (at c0 l1) (at c1 l3) (at c2 l2)),"1: board(c2, l1) ; 2: sail(l1, l2) ; 3: debark(c2, l2) ; 4: board(c1, l2) ; 5: sail(l2, l3) ; 6: debark(c1, l3)","Is the action in Step 2 (sail(l1, l2)) 'very busy' in the sense that its effect '('at-ferry', 'l2')' is used by the next step, Step 3 (debark(c2, l2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at c0 l1) (at c1 l3) (at c2 l2))

  Plan steps:
1: board(c2, l1)
2: sail(l1, l2)
3: debark(c2, l2)
4: board(c1, l2)
5: sail(l2, l3)
6: debark(c1, l3)

Question:
  Is the action in Step 2 (sail(l1, l2)) 'very busy' in the sense that its effect '('at-ferry', 'l2')' is used by the next step, Step 3 (debark(c2, l2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s3) (at package2 s1)),"1: board-truck(driver2, truck1, s3) ; 2: drive-truck(truck1, s3, s2, driver2) ; 3: load-truck(package2, truck1, s2) ; 4: drive-truck(truck1, s2, s1, driver2) ; 5: unload-truck(package2, truck1, s1)","Is the action in Step 2 (drive-truck(truck1, s3, s2, driver2)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 3 (load-truck(package2, truck1, s2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s3) (at package2 s1))

  Plan steps:
1: board-truck(driver2, truck1, s3)
2: drive-truck(truck1, s3, s2, driver2)
3: load-truck(package2, truck1, s2)
4: drive-truck(truck1, s2, s1, driver2)
5: unload-truck(package2, truck1, s1)

Question:
  Is the action in Step 2 (drive-truck(truck1, s3, s2, driver2)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 3 (load-truck(package2, truck1, s2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s3) (at package2 s3)),"1: board-truck(driver2, truck2, s2) ; 2: load-truck(package2, truck2, s2) ; 3: drive-truck(truck2, s2, s3, driver2) ; 4: unload-truck(package2, truck2, s3)","Is the action in Step 3 (drive-truck(truck2, s2, s3, driver2)) 'very busy' in the sense that its effect '('at', 'truck2', 's3')' is used by the next step, Step 4 (unload-truck(package2, truck2, s3))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s3) (at package2 s3))

  Plan steps:
1: board-truck(driver2, truck2, s2)
2: load-truck(package2, truck2, s2)
3: drive-truck(truck2, s2, s3, driver2)
4: unload-truck(package2, truck2, s3)

Question:
  Is the action in Step 3 (drive-truck(truck2, s2, s3, driver2)) 'very busy' in the sense that its effect '('at', 'truck2', 's3')' is used by the next step, Step 4 (unload-truck(package2, truck2, s3))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 d2) (clear d1) (on d2 d3) (on d3 peg1) (clear peg2) (clear peg3)),"1: move(d1, peg3, peg1) ; 2: move(d2, d3, peg3) ; 3: move(d1, peg1, d2) ; 4: move(d3, peg2, peg1) ; 5: move(d1, d2, peg2) ; 6: move(d2, peg3, d3) ; 7: move(d1, peg2, d2)","Is the action in Step 4 (move(d3, peg2, peg1)) 'very busy' in the sense that its effect '('clear', 'peg2')' is used by the next step, Step 5 (move(d1, d2, peg2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 d3) (on d3 peg1) (clear peg2) (clear peg3))

  Plan steps:
1: move(d1, peg3, peg1)
2: move(d2, d3, peg3)
3: move(d1, peg1, d2)
4: move(d3, peg2, peg1)
5: move(d1, d2, peg2)
6: move(d2, peg3, d3)
7: move(d1, peg2, d2)

Question:
  Is the action in Step 4 (move(d3, peg2, peg1)) 'very busy' in the sense that its effect '('clear', 'peg2')' is used by the next step, Step 5 (move(d1, d2, peg2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 peg1) (clear d1) (on d2 peg2) (clear d2) (clear peg3)),"1: move(d2, peg1, peg2) ; 2: move(d1, peg3, peg1)","Is the action in Step 1 (move(d2, peg1, peg2)) 'very busy' in the sense that its effect '('clear', 'peg1')' is used by the next step, Step 2 (move(d1, peg3, peg1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 peg1) (clear d1) (on d2 peg2) (clear d2) (clear peg3))

  Plan steps:
1: move(d2, peg1, peg2)
2: move(d1, peg3, peg1)

Question:
  Is the action in Step 1 (move(d2, peg1, peg2)) 'very busy' in the sense that its effect '('clear', 'peg1')' is used by the next step, Step 2 (move(d1, peg3, peg1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s4) (at package2 s1) (at package3 s4) (at package4 s2)),"1: board-truck(driver2, truck1, s4) ; 2: load-truck(package2, truck1, s4) ; 3: drive-truck(truck1, s4, s1, driver2) ; 4: load-truck(package4, truck1, s1) ; 5: unload-truck(package2, truck1, s1) ; 6: load-truck(package1, truck1, s1) ; 7: drive-truck(truck1, s1, s4, driver2) ; 8: unload-truck(package1, truck1, s4) ; 9: drive-truck(truck1, s4, s2, driver2) ; 10: unload-truck(package4, truck1, s2)","Is the action in Step 9 (drive-truck(truck1, s4, s2, driver2)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 10 (unload-truck(package4, truck1, s2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s4) (at package2 s1) (at package3 s4) (at package4 s2))

  Plan steps:
1: board-truck(driver2, truck1, s4)
2: load-truck(package2, truck1, s4)
3: drive-truck(truck1, s4, s1, driver2)
4: load-truck(package4, truck1, s1)
5: unload-truck(package2, truck1, s1)
6: load-truck(package1, truck1, s1)
7: drive-truck(truck1, s1, s4, driver2)
8: unload-truck(package1, truck1, s4)
9: drive-truck(truck1, s4, s2, driver2)
10: unload-truck(package4, truck1, s2)

Question:
  Is the action in Step 9 (drive-truck(truck1, s4, s2, driver2)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 10 (unload-truck(package4, truck1, s2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s1) (at package2 s1)),"1: walk(driver1, s1, s3) ; 2: board-truck(driver1, truck1, s3) ; 3: drive-truck(truck1, s3, s2, driver1) ; 4: load-truck(package1, truck1, s2) ; 5: drive-truck(truck1, s2, s1, driver1) ; 6: unload-truck(package1, truck1, s1)","Is the action in Step 3 (drive-truck(truck1, s3, s2, driver1)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 4 (load-truck(package1, truck1, s2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s1) (at package2 s1))

  Plan steps:
1: walk(driver1, s1, s3)
2: board-truck(driver1, truck1, s3)
3: drive-truck(truck1, s3, s2, driver1)
4: load-truck(package1, truck1, s2)
5: drive-truck(truck1, s2, s1, driver1)
6: unload-truck(package1, truck1, s1)

Question:
  Is the action in Step 3 (drive-truck(truck1, s3, s2, driver1)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 4 (load-truck(package1, truck1, s2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 d2) (clear d1) (on d2 peg2) (on d3 peg1) (clear d3) (clear peg3)),"1: move(d1, d2, d3) ; 2: move(d2, peg1, peg2) ; 3: move(d1, d3, d2) ; 4: move(d3, peg3, peg1)","Is the action in Step 1 (move(d1, d2, d3)) 'very busy' in the sense that its effect '('clear', 'd2')' is used by the next step, Step 2 (move(d2, peg1, peg2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 peg2) (on d3 peg1) (clear d3) (clear peg3))

  Plan steps:
1: move(d1, d2, d3)
2: move(d2, peg1, peg2)
3: move(d1, d3, d2)
4: move(d3, peg3, peg1)

Question:
  Is the action in Step 1 (move(d1, d2, d3)) 'very busy' in the sense that its effect '('clear', 'd2')' is used by the next step, Step 2 (move(d2, peg1, peg2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s2) (at package2 s2) (at package3 s2)),"1: board-truck(driver1, truck1, s2) ; 2: drive-truck(truck1, s2, s1, driver1) ; 3: load-truck(package3, truck1, s1) ; 4: load-truck(package2, truck1, s1) ; 5: load-truck(package1, truck1, s1) ; 6: drive-truck(truck1, s1, s2, driver1) ; 7: unload-truck(package3, truck1, s2) ; 8: unload-truck(package2, truck1, s2) ; 9: unload-truck(package1, truck1, s2)","Is the action in Step 2 (drive-truck(truck1, s2, s1, driver1)) 'very busy' in the sense that its effect '('at', 'truck1', 's1')' is used by the next step, Step 3 (load-truck(package3, truck1, s1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s2) (at package2 s2) (at package3 s2))

  Plan steps:
1: board-truck(driver1, truck1, s2)
2: drive-truck(truck1, s2, s1, driver1)
3: load-truck(package3, truck1, s1)
4: load-truck(package2, truck1, s1)
5: load-truck(package1, truck1, s1)
6: drive-truck(truck1, s1, s2, driver1)
7: unload-truck(package3, truck1, s2)
8: unload-truck(package2, truck1, s2)
9: unload-truck(package1, truck1, s2)

Question:
  Is the action in Step 2 (drive-truck(truck1, s2, s1, driver1)) 'very busy' in the sense that its effect '('at', 'truck1', 's1')' is used by the next step, Step 3 (load-truck(package3, truck1, s1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 d2) (clear d1) (on d2 peg3) (on d3 peg1) (clear d3) (clear peg2)),"1: move(d1, d3, d2) ; 2: move(d3, peg2, peg1)","Is the action in Step 1 (move(d1, d3, d2)) 'very busy' in the sense that its effect '('clear', 'd3')' is used by the next step, Step 2 (move(d3, peg2, peg1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 peg3) (on d3 peg1) (clear d3) (clear peg2))

  Plan steps:
1: move(d1, d3, d2)
2: move(d3, peg2, peg1)

Question:
  Is the action in Step 1 (move(d1, d3, d2)) 'very busy' in the sense that its effect '('clear', 'd3')' is used by the next step, Step 2 (move(d3, peg2, peg1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
